GMID,story_1_SDR_rotD50,story_1_PFA_rotD50,story_2_SDR_rotD50,story_2_PFA_rotD50,story_3_SDR_rotD50,story_3_PFA_rotD50,story_4_SDR_rotD50,story_4_PFA_rotD50,SaT1,PGA,PGV,Sa_avg,CAV,SI,ASI,DSI,DS_5to75,DS_5to95
GM766_RSN5884,0.0018176570123874377,0.09997424586247666,0.0011159724472589222,0.120307318155805,0.0006516686241583319,0.1424417270544513,0.00024974886363727643,0.1630983511854911,148.24194183675996,42.84090806889865,4.090594823212108,117.89338970139414,317.7262348565351,24.51526140585292,46.20106807950143,7.391497926971112,9.105000000000004,35.93
GM767_RSN5886,0.0017822306096079397,0.08859135471326093,0.0010259096518470633,0.12312160122817747,0.0005990575885907836,0.1385058382458364,0.00023516423351378825,0.16241525841333265,101.84029966214835,39.20975770623003,6.073045950740695,89.15276971319804,243.1165232866433,13.069268940184084,51.0333845229845,3.800043348030331,15.145000000000003,32.09
GM768_RSN5894,0.0016413656250242104,0.07352946577474276,0.000997418453268807,0.0906722149049725,0.0005612742854808738,0.10257672565089815,0.0001798499972274533,0.11794525290459437,85.68560549326543,29.62902662000724,5.073535449682523,97.5827781856378,250.73807359301816,14.89628910930344,36.77696601080413,4.746438226577863,14.435000000000002,28.55
GM769_RSN5945,0.0006685094981525497,0.013083129609078089,0.0004643891506821152,0.017638253259362288,0.00031288234910195026,0.020278960250925775,4.143957523105838e-05,0.02231066884117655,18.568802459346745,7.925009865117286,2.186132272723321,18.471748962937664,66.63881379768807,7.77232641315432,6.5624147767319,3.7632401851740855,17.080000000000002,27.320000000000004
GM770_RSN5968,0.0019037496549501544,0.08528133715353847,0.0009202507135091251,0.10370265227543358,0.0005405418002362553,0.11311766362045009,0.00020102214874373115,0.12195766941776107,104.4890451884782,43.03702165783871,9.401848524351909,104.45290534354965,624.7697851144976,33.32043041319449,42.610912308392656,24.871375152638137,28.64999999999999,92.97
GM771_RSN5969,0.0030123096599718414,0.3123069081334632,0.0024005385231678405,0.36449632843929447,0.0014307582425581566,0.40759874628054593,0.0008905357109975375,0.5307756003860709,523.0705796370491,191.0567906117649,21.2190341732906,343.80584707409747,1812.9151338255544,79.52002694172752,229.8080852088241,61.42135105142951,16.075,33.125
GM772_RSN5972,0.0026095959774133292,0.2635529579497569,0.001757352320002692,0.29221337565771077,0.0010535327172856005,0.3498882817922867,0.0006742392712532474,0.42557230098378807,341.5110087636801,164.50692868534688,18.28314737983337,280.0928465954737,1311.3903040466098,46.88833276856502,167.4535069036325,57.936127514398144,11.869999999999996,79.53999999999999
GM773_RSN5985,0.0056874199083132015,0.6256867805647579,0.004173800893212436,0.6912126195721664,0.0024840875949875985,0.6739196548156543,0.0014785589041905675,0.8482895740711912,763.6617588177908,352.17046454283206,34.13669615172815,746.5560032559611,1821.9777610375156,131.93727293695014,495.5835187358202,71.34036990006825,8.525000000000002,13.77
GM774_RSN5988,0.0037312602904180595,0.34963135783587995,0.0025792525832048097,0.39980835832141487,0.0015937431913584754,0.407869110686376,0.0009929373487372272,0.557110439966664,414.7136089280863,198.59436807976988,33.28626953153523,454.892075565482,2214.409074534596,103.02106678605746,223.9528061133876,97.6461104270518,20.79,65.25999999999999
GM775_RSN5990,0.002961824066626184,0.3524913797200362,0.00252742118349915,0.391675534197261,0.0017123679852096342,0.44406984339412253,0.0010601598902296957,0.5704291389334121,410.9718724311329,182.6083862231689,23.06541226916653,395.4125409997729,1631.8203492785103,73.7751568799903,236.50471751062923,60.545467604417546,17.485,40.56
GM776_RSN5991,0.007829712794471318,0.6077281267400253,0.006816569182236482,0.6366304931451597,0.004324073023747569,0.624306261947841,0.0013286653490798927,0.6588720136012585,1331.5491512776812,293.33074478075434,34.14855768200369,814.918772509076,2278.626224196436,159.90609096327907,383.679768554718,97.10102308004136,9.010000000000003,21.325000000000003
GM777_RSN5992,0.010627974685999464,0.7348582393138732,0.008881778491333795,0.8184143183055022,0.006741594375650853,0.8292621515923122,0.001950148561729921,0.8955080072130426,1369.4651779102055,430.2693732928983,53.78690242355941,970.5616268930776,2719.8516588006933,191.29776042365947,602.579232674422,107.3465751835821,8.61,23.54
GM778_RSN6000,0.0016692633339379262,0.05104621097062667,0.0008829212875310546,0.07021148752939563,0.0005662671136079314,0.0854919865466444,0.0001657256282183179,0.09645215597431786,72.0790579210221,18.78707587876696,6.2730528823326495,46.847463029238725,155.31486887763194,12.20451993530876,23.338960999618035,9.65220119658282,13.160000000000002,37.865
GM779_RSN6007,0.0016883332008195715,0.058735628375292906,0.00086688642280955,0.0741787498417343,0.0005562907328913288,0.08470952127924371,0.00017617707157152422,0.09697335240358475,95.26154580876228,28.51304081465,5.577425294620747,79.27483854028478,228.2824296627903,19.476970414420247,33.20089708481624,9.798167620630757,14.134999999999998,40.58
GM780_RSN6013,0.0033647378071044714,0.2990209816691125,0.002500631165108326,0.3453840615501317,0.0013732673042011147,0.3724641551878074,0.0009373594897409591,0.5150416838629691,466.6902481668192,141.60954642775735,26.28097067368526,351.1751275479184,1470.680663385444,89.17698213745618,193.84779739154607,77.73832339704448,15.325,61.815
GM781_RSN6014,0.0019915857064683315,0.10576263910829262,0.0013712221028400308,0.15288693330583783,0.0008796355717069105,0.18519921984905174,0.00034032117132629976,0.21246090130129036,148.0408481450515,36.1968997261051,7.857485228262094,112.498178739133,453.43044871280586,31.220504871591935,62.02307193604271,23.41247435562068,19.645000000000003,52.97
GM782_RSN6020,0.002142711136426309,0.10481257747635758,0.0014268144470121118,0.14760668153440007,0.0006526082314339634,0.15447167567203207,0.00029424582507836614,0.17031808330624387,162.68096853849732,35.807222956155115,9.08377059197818,112.67094489243117,490.44435299458286,26.72693792987946,50.74006316354041,21.726728878030794,21.75,73.99
GM783_RSN6036,0.0015062592562136315,0.05740229740775719,0.000829632505468349,0.06770407310663462,0.000492475537150491,0.07772970086365336,0.00013726738981069444,0.08784404443223359,57.86168738692969,36.74858084628445,7.056848411744993,75.48727591224454,445.8345438881043,27.987627805310424,32.211616380497595,20.4131862671449,22.42,84.00999999999999
