GMID,story_1_sdrX,story_1_sdrZ,story_1_pfaX,story_1_pfaZ,story_2_sdrX,story_2_sdrZ,story_2_pfaX,story_2_pfaZ,SaT1,PGA,PGV,Sa_avg,CAV,SI,ASI,DSI,DS_5to75,DS_5to95
GM544_RSN2899,0.0001978363939370105,0.00019361660420015646,0.06284978270224341,0.064552404079521,0.00010762682358455081,0.00010832330456554582,0.08641762666834993,0.09044681125105283,80.2382232795867,32.77347071123255,9.683663637167095,87.91886795396503,326.08290870100365,50.16278966418368,31.96205660459946,52.1933345644199,17.368,34.304
GM545_RSN2900,0.0002877374622637797,0.00031330964940135474,0.09152309251407828,0.08860756477805071,0.0001511469468166658,0.00015695333960448227,0.13152645592251472,0.1229031573322289,82.40905867449585,37.68031052807534,6.806179678514932,85.6369057567715,270.1545300177625,21.77313698110206,49.26399021951072,28.556038696353664,20.512,51.144000000000005
GM546_RSN2937,0.0006229401611792259,0.0006417249381269207,0.1807521172871148,0.1745650703301439,0.00026920626735646387,0.0002629398017341611,0.24139378927499822,0.22570419248115114,194.92254045820164,65.6735864532184,8.387791534005057,143.0602374173793,366.1376751693587,30.913975200082827,77.69696118278743,17.062271889268246,8.771999999999998,26.300000000000004
GM547_RSN2938,0.00023773643175584175,0.00023683449971446306,0.08091960269133767,0.08276050317260342,0.00013418875336256773,0.00012982427430954498,0.10538640089307888,0.12000460740081165,119.31934244602854,42.06277115473844,7.620110427913891,79.37744051452428,257.82239546610674,25.6965161197127,41.4650622593709,13.043198216752565,10.604000000000006,39.53600000000001
GM548_RSN2939,0.0002760835287354173,0.00022955798059096075,0.08796513667270517,0.07942137350849222,0.00015399653106482633,0.00012872250331934972,0.12903840404755973,0.11608549081004597,107.77201266156206,32.39290090620703,4.999833293592965,87.05895383370209,205.3689830543572,23.425259969993903,41.899960445997785,11.9706259494377,11.496000000000002,35.88400000000001
GM549_RSN2948,0.0003643562450349934,0.0004240406000797565,0.11474017359906066,0.15669298840568197,0.0002018268891500834,0.00023062201085759365,0.17322365372185652,0.21210965396554443,176.34893231985987,52.5769913135341,6.565833025741582,84.69257776279227,314.6408415843408,18.517766834722615,51.61239980361613,17.33951755380142,12.125,34.855
GM550_RSN2949,0.00041739280123763526,0.00036915884585771446,0.13330728363654928,0.1414487726538831,0.0002194262439864478,0.00020138200773654028,0.20030622943735674,0.22228381889893425,200.03024156807248,46.19767200731891,4.876825535893162,86.58107417343513,288.2390973306672,16.91850104405862,58.51631979572353,14.459876440356274,10.515000000000004,35.22
GM551_RSN2953,0.000325289495127033,0.00031902220266777695,0.09881737457179744,0.08904879678553586,0.0001773196035016996,0.00016239007702135001,0.15510466090791314,0.13311652409691718,117.58083969150496,32.89076865913788,5.618407213720012,72.8010621336157,214.2927923797852,18.789125705710028,43.264178109465625,11.275143825602472,12.974999999999998,34.870000000000005
GM552_RSN2960,0.0003588095092747681,0.0003678117580502286,0.11516812867549865,0.11844110930702231,0.0001872036529451281,0.00018354358403932305,0.1645948421555814,0.17799540987735488,103.13141398067816,35.55491275200502,6.980535966943327,69.71343067071776,225.76855222646503,22.87701533256004,41.50184482542095,13.99650945835025,11.295000000000002,35.87500000000001
GM553_RSN2962,0.00028073630513348306,0.00028660933995597565,0.09194367678048077,0.08853674570676862,0.0001425996547471277,0.00014445157756147922,0.1349080454361412,0.13444813023317725,102.95852730848566,37.829041927301226,3.7652989825926912,87.57569611411776,217.80340801585768,19.758762116626468,47.43296836843108,11.77444493581828,8.11,24.065
GM554_RSN2963,0.00017692968713587875,0.00017932561823119422,0.05118151671197311,0.06090136737160807,9.95244914978217e-05,0.00010281680654445563,0.07808199434489022,0.0856914109616583,77.57847328834987,23.140893681644087,5.229559560781865,48.00506166325264,195.0027963268082,19.027111546876537,25.60769432054184,11.16161231184377,16.335,37.81999999999999
GM555_RSN2967,0.0001930082529634419,0.00019059317406455053,0.06860602623298392,0.07104153042657416,0.00011655531628372855,0.00011721941306797276,0.08517025625068166,0.0913685020144462,74.07780096905857,28.57855106732744,3.27860750747245,79.92954118697742,221.41128122406425,22.60951326920129,38.9723904182942,10.030698099717174,13.28,28.230000000000004
GM556_RSN2968,0.00023692627671493099,0.00020343864851350154,0.07888669104655831,0.07538551860526657,0.00012514178141612004,0.00012311909008923047,0.09643597669364197,0.09427882222721548,79.82377024513725,32.985761382795374,9.21791917262715,111.79064012213976,286.91280155247534,29.96703084219135,49.264042797725175,16.01316647684127,13.420000000000002,26.745000000000005
GM557_RSN2969,0.00012580661272365622,0.00015070991911616153,0.03843152913684236,0.03333149502489146,8.514607480970575e-05,6.572749974432318e-05,0.047116293550090386,0.04801551272494016,44.842503700304654,24.30675221391965,7.022432789007641,54.24534146623918,261.5283891658171,31.10999718252148,19.74118983678316,22.401679293901672,22.168000000000003,39.968
GM558_RSN2972,0.0001909554082240146,0.000174553149461704,0.059269279596267675,0.05526246978020047,0.00010326635441371979,9.095800689878815e-05,0.08216838838549446,0.07646123230783004,63.47523238380923,18.226656285991897,3.6215772596641584,56.61726840028959,193.3320232942417,19.304876774672703,26.492144897430883,10.958292917531132,20.53,35.06
GM559_RSN2973,0.00026823495745334903,0.0003001433601481132,0.08615724989735259,0.1083237131678634,0.00015100688430995466,0.00015839285438428095,0.1267777597414132,0.14865422162724667,91.55028909068594,26.87012226244047,3.89709209298726,68.47386187211373,228.50518904769905,24.29121318612833,39.54770194878411,19.588064069893893,23.730000000000004,36.05
GM560_RSN2982,0.0006696576687084233,0.0006640756444449678,0.18679507484632912,0.2068258825539866,0.0002884105584145626,0.00029700335583962676,0.2626297579988125,0.2715224631213615,265.1706367409967,75.79619501517453,9.443119087763131,146.09637011501175,310.51624311413576,28.44109265302241,86.19624040394967,16.145158458137068,6.364999999999995,17.909999999999997
GM561_RSN2984,0.0004878943451916612,0.0005483815786730987,0.1572924157666493,0.17423470366957017,0.0002235696588358984,0.00026366166895474234,0.20051694416324536,0.23626703042818867,189.88594553069592,61.21633542333479,3.606994656554592,68.41485881635921,312.4640963584308,11.22000406971241,65.29390978839146,11.550734024097654,14.020000000000003,29.636000000000003
