GMID,story_1_sdrX,story_1_sdrZ,story_1_pfaX,story_1_pfaZ,story_2_sdrX,story_2_sdrZ,story_2_pfaX,story_2_pfaZ,story_3_sdrX,story_3_sdrZ,story_3_pfaX,story_3_pfaZ,story_4_sdrX,story_4_sdrZ,story_4_pfaX,story_4_pfaZ,SaT1,PGA,PGV,Sa_avg,CAV,SI,ASI,DSI,DS_5to75,DS_5to95
GM1_RSN9,0.00173214504242572,0.0018720647511504508,0.07350411459519701,0.08089688682925626,0.000921839124251081,0.0011681740491938692,0.11069312325845464,0.12676215979672203,0.0005460567498310043,0.0007448136887571279,0.133223742515958,0.1462103653388257,0.00028442408623743557,0.00025092945046964905,0.1637893176119749,0.16206270740920298,122.71754189329867,36.502123620462285,5.937848771011892,88.18461758457657,283.7195396136379,23.86233804456801,52.23922607806325,15.52231812977153,19.685,34.455
GM2_RSN12,0.0018215263084292795,0.001959093393511396,0.07715967702267847,0.10684380790602807,0.0012047890089638103,0.0010045401244848312,0.10634282037468132,0.14220872983299834,0.0007649054504904511,0.0006194131804175627,0.12975512095039093,0.14736002437531187,0.00025845229700662345,0.0002540960684229489,0.1483159858222146,0.17039039236556583,148.28998869069508,41.26856370900376,7.2956143669629405,108.3065174713573,366.5174567102598,31.55005091405642,48.97959009634932,29.36210524311518,17.045,29.345
GM3_RSN30,0.00441247189962724,0.0038775209721676556,0.3302406493093844,0.5593206231517122,0.004772268010013688,0.0041486733312469885,0.3443380086617598,0.8146750249443935,0.0025722600048984157,0.0027316769510320944,0.4384966412239714,0.8131675577689162,0.0011237164958297979,0.0011622694487080012,0.5302118217040934,0.8364495796717315,724.8933924118994,267.6801063611396,15.747787088997155,432.39558738625806,488.0622854723702,72.35052555369525,332.89228677386063,29.018868049151063,2.17,7.52
GM4_RSN31,0.002931609505834635,0.0021956654339857873,0.2921095689784997,0.4612502323103407,0.0016857915149863577,0.0017492793626233622,0.27371104202553265,0.5493989610861815,0.001198572937622071,0.0013125044392915408,0.2537213741738726,0.5216140957858387,0.0008562482770785589,0.0009542928491191788,0.40268643090782497,0.6360784596656477,289.7925413461281,213.75706713338883,9.27682929667528,263.70126567544537,376.0267329058338,41.96604029519048,182.46646150386636,22.81414051102072,3.84,10.84
GM5_RSN36,0.001968825821854235,0.0019510345323955692,0.10594859710058704,0.10801307665647102,0.0011627976522809124,0.0012907484838650795,0.12096990097051817,0.12119739819695033,0.0007499639624101949,0.0007993790392041816,0.1279812420795398,0.13747279857296163,0.0002663864548452113,0.0003016835761157708,0.15145600058090838,0.16071020226614738,155.61550226693493,44.92460437025052,12.420486352763987,140.32073004340882,511.5687417705348,67.15597517937256,64.88671574634039,49.46210876905167,24.58,48.15
GM6_RSN53,0.0006088023715591124,0.0006649914802822665,0.009845347942329006,0.0099170037612783,0.00042665566834392357,0.00041587622108026344,0.014937225856552593,0.013379088151624075,0.00028085613885404036,0.0002845528991242227,0.016976975792350975,0.017382936000406503,3.46674198636126e-05,3.854166576576572e-05,0.01908641911201901,0.020503736778015626,15.111063957828751,5.708154485737863,1.0020737754581404,13.798335001212187,40.52566961180984,5.1506621139106885,6.043732825991716,4.788176617094392,21.405,32.21
GM7_RSN54,0.0006289819032531858,0.0006333425733297893,0.012898503297421315,0.011906740200420762,0.000439638015639003,0.00044407391506369784,0.0171914740340667,0.017163708615848552,0.000302915982231047,0.0002995649673576667,0.023084151392641153,0.02280906301048601,4.462936253185786e-05,4.9996399870390625e-05,0.02642266304194605,0.02807600228152547,20.17801401823849,6.831759762127036,1.1917890387703338,17.08989785753887,34.87251635786458,4.086807169583233,7.451272909424064,4.364973035165317,11.87,20.625
GM8_RSN60,0.0005602887749437788,0.0005520231002195471,0.005620304036526503,0.005521594769166311,0.00037439167324875185,0.0003755137691723168,0.007566258224369257,0.006841015650518307,0.00025951541524541486,0.0002555230143803096,0.008167939494364469,0.007698015878593858,1.9307511491644893e-05,1.6567437943146184e-05,0.008752067771710696,0.008911717179043223,8.639242292673229,3.881085995661577,1.1190874071055883,8.00532567002826,23.92671700691901,4.023523133868527,2.820598906691958,3.765412964869427,16.765,23.91
GM9_RSN61,0.0006171913980622219,0.0006159513766686457,0.008000814152136214,0.008539481300336781,0.0004247325792507561,0.00042545688210440325,0.011879081967710663,0.012401094504166979,0.0002862580791436289,0.0002916293169350437,0.014684851975485162,0.015229302710255537,2.905357120906132e-05,3.0291913112248274e-05,0.016332495013767448,0.016795381408643888,12.672887081731645,4.266593112974563,1.4863054523335908,11.82796255197602,34.350701877414075,4.522242986436838,4.581052603466474,3.480099974901909,16.490000000000002,23.15
GM10_RSN62,0.001170359142190978,0.0009726808615368147,0.04755422424597679,0.04825811312474194,0.0006785728383158283,0.0005283127374699574,0.05496838957671036,0.08220338313614474,0.00040484046578004025,0.00042673494588327314,0.07770006704773492,0.10954078814252573,0.00017169992779264638,0.00021831403153714174,0.10082203066064864,0.13632423319838294,58.929568341901785,29.024204307174763,1.9738623342514043,46.87922213973119,72.96077260420608,6.905155027820865,37.71659830436075,2.398445944948216,4.745,7.115
GM11_RSN65,0.001190285875035909,0.0008299298249731725,0.0938018480320423,0.11478718952288929,0.0010490739217996028,0.0007406567993004587,0.12583558192579114,0.15743779547980266,0.0005859767751165573,0.0005730815836318592,0.1624891820515363,0.21748985945702343,0.00036822893400437727,0.00036469711309249477,0.21020411662285518,0.2568279681949374,119.0351418038808,72.46470685766465,5.193118458296466,107.3947517406358,99.43287447104731,29.057441102450383,72.86259843244747,11.784790944608435,3.2950000000000004,7.314999999999999
GM12_RSN68,0.0022183699566122863,0.002172433227397336,0.231537181763871,0.3118339918756717,0.0017009139537319344,0.002093840769017549,0.25387157461503157,0.41934705287987545,0.001025378052037394,0.0010693457637265876,0.2725655451971991,0.43983838861519386,0.0008186436463345941,0.0007893677220142715,0.39866772697093117,0.4855452374641376,292.6341312230426,175.07747135057548,16.31981365274727,309.91205863289423,559.465447470546,68.64155166955128,185.5617361273036,71.19490306716379,5.06,13.48
GM13_RSN69,0.0016512010855132102,0.0019162486672141474,0.052670539173668034,0.04713213829418769,0.0008820120975644268,0.0009941897188816633,0.076026654561134,0.07852862260026341,0.0005481891783134721,0.0006075666826719518,0.09730501020307161,0.10424450145546642,0.00020527341610642128,0.00019409007470759542,0.11596048520517764,0.11689196637357457,79.40889607204704,22.145537126068373,6.552675737444719,59.36753496332472,290.8093688855231,17.358489068447195,31.786560239729862,40.19038481427731,34.224999999999994,52.67
GM14_RSN74,0.0007179255505586912,0.0006887753582467943,0.015091838127411227,0.016974864654525374,0.0004605855743485678,0.0004451932413694083,0.019631191634132576,0.022173699051051956,0.0003001254327577055,0.0002950660267635025,0.02048872944365601,0.024923910095689172,4.245845027788935e-05,3.822538423613292e-05,0.021792731687151366,0.030019361999595425,20.880418967013,7.305703062159392,2.6673796809454045,18.334100515644693,55.76811795134165,5.982651792956855,8.73614550747624,5.362374718021209,16.285,27.975
