GMID,T_0.01,T_0.02,T_0.03,T_0.04,T_0.05,T_0.06,T_0.07,T_0.08,T_0.09,T_0.10,T_0.11,T_0.12,T_0.13,T_0.14,T_0.15,T_0.16,T_0.17,T_0.18,T_0.19,T_0.20,T_0.21,T_0.22,T_0.23,T_0.24,T_0.25,T_0.26,T_0.27,T_0.28,T_0.29,T_0.30,T_0.31,T_0.32,T_0.33,T_0.34,T_0.35,T_0.36,T_0.37,T_0.38,T_0.39,T_0.40,T_0.41,T_0.42,T_0.43,T_0.44,T_0.45,T_0.46,T_0.47,T_0.48,T_0.49,T_0.50,T_0.51,T_0.52,T_0.53,T_0.54,T_0.55,T_0.56,T_0.57,T_0.58,T_0.59,T_0.60,T_0.61,T_0.62,T_0.63,T_0.64,T_0.65,T_0.66,T_0.67,T_0.68,T_0.69,T_0.70,T_0.71,T_0.72,T_0.73,T_0.74,T_0.75,T_0.76,T_0.77,T_0.78,T_0.79,T_0.80,T_0.81,T_0.82,T_0.83,T_0.84,T_0.85,T_0.86,T_0.87,T_0.88,T_0.89,T_0.90,T_0.91,T_0.92,T_0.93,T_0.94,T_0.95,T_0.96,T_0.97,T_0.98,T_0.99,T_1.00,T_1.00,T_1.10,T_1.20,T_1.30,T_1.40,T_1.50,T_1.60,T_1.70,T_1.80,T_1.90,T_2.00,T_2.10,T_2.20,T_2.30,T_2.40,T_2.50,T_2.60,T_2.70,T_2.80,T_2.90,T_3.00,T_3.10,T_3.20,T_3.30,T_3.40,T_3.50,T_3.60,T_3.70,T_3.80,T_3.90,T_4.00,T_4.10,T_4.20,T_4.30,T_4.40,T_4.50,T_4.60,T_4.70,T_4.80,T_4.90,T_5.00
GM1_RSN9,0.0818535095962931,0.16497524382923298,0.24923599393307333,0.3403857599589529,0.47867062831423635,0.6653095662020391,1.008688713364466,1.1689533878205993,1.5193581127412028,1.7493291120115253,1.8038322027289975,1.9895801072867334,2.48628000755688,2.627570654448738,2.7257130216694168,2.8916936712455428,3.152919454215334,4.159002707287184,4.355812406962437,4.556619197380632,5.160419467396155,5.890766042762311,5.981958949560093,5.8817101384094785,6.498403057471296,5.99753809757696,5.85187752537791,5.863540548125803,6.644900829506606,7.247946250410805,7.617477868466363,7.819511424347347,8.260679523658098,7.637063619713821,7.358238756515799,7.251486402783022,7.258934710147372,7.357518016430246,7.43416130531582,7.432207476843272,7.484864918499605,7.536709712670372,7.610584626802141,7.448244610958086,7.566568084152916,8.306527401957934,8.896158868822514,9.252459861231221,9.570240664238565,9.848062464074069,9.83023681045142,9.489036716644534,9.277471734832348,8.728725834262873,8.455606869396158,8.17842821314017,7.905666872299526,7.665869412494605,7.438211342942683,7.225668098445053,6.880448796887003,6.804490551974388,6.886184320993834,7.032756229397424,7.142531598093687,7.263233950106781,7.37793662217623,7.368254829338392,7.082274537556894,6.930091735435409,7.001221871482059,7.269230061840122,7.390163244516156,7.385303535441995,7.57772654915459,7.842518135490671,7.917014997610774,8.371810017526446,8.851377689765263,9.118502692215417,9.155952259607144,9.102749124035245,9.010526804973225,8.812915065868156,8.729854538948814,9.104502473679444,9.117389708763175,8.84330594377451,8.583372637671573,8.452598122560524,8.351872443631406,8.261835692145704,8.171188622787485,8.171233399263965,8.312075174005319,8.496745605096244,8.591440684715623,8.537497502836054,8.412628000180405,8.229078536120662,8.229078536120662,8.12617257388853,9.868415117551876,12.516041399388365,16.388151856418034,16.2260772633715,14.169030212668485,10.67143387865621,11.70378317893539,13.757848610596918,12.808628724307768,10.821400495092083,9.834239384477284,9.840875931136724,8.685809917587068,7.459332035980509,6.492085375713694,6.451602560763249,6.7605752326402575,6.627763687772738,6.352055006440533,6.039785542301369,5.896546636447382,6.487738299366638,6.951114061953393,6.9496715956345785,6.869566587339896,7.03624150655775,7.218466478406954,7.3277181223041685,7.194241614424279,7.891045225321875,8.78721172081671,9.73361118841151,10.672388595186272,11.343303445026491,12.437005000239791,13.026830621682029,14.474796906560075,16.425632436211668,17.786450610612537
GM2_RSN12,0.08240767279732798,0.16513577605313465,0.24885624898928851,0.3364079504050825,0.42444382044649304,0.5320623503206794,0.6471985540817252,0.7283248540333788,0.8276788141246867,0.9672936784092212,1.223477423486973,1.3964725268458191,1.7149334803297258,1.8831074723103531,2.2557400636412748,2.829755939162686,2.9804020550426076,3.2742552484646152,3.5446817302137,3.6183277732798196,3.743364199856395,4.0789834044885565,4.292430715834182,4.655338888970749,4.8954586999606455,5.297539466933464,5.695979636206912,6.241690873401516,6.2439079565739695,6.8252236237036055,7.404049716836865,7.249242758568774,6.967976399920344,7.159865963247247,7.419353375345673,7.723431252144086,7.9958711560550455,7.925462780002786,7.746615937379946,7.734799440096727,8.08624726039026,8.222961032438606,8.401536223176837,9.109699448121873,9.749804484867365,10.310168908029901,10.736115558559733,11.08110186830627,11.564531508471035,11.865470567037477,12.157262961020216,12.41542801072689,12.550530710961894,12.363705490064868,11.946326259490487,11.319453618988968,10.723032084153903,10.195093244169636,9.613396585759936,9.040273228961048,8.684556126624097,9.393086925095306,9.815911091776824,9.920906537373028,9.713642281141281,9.548949583532625,9.563826135649828,10.041144660734114,10.368093932831423,10.655696235872359,10.974070913343995,11.342428948176709,11.684679746542711,12.170195789718916,12.627585994763518,13.031635974492932,13.523477948595412,14.23941357738075,15.1140753630926,15.642578284545175,15.730547131141774,15.827472343516376,16.02144368215621,16.537327645956495,16.954785239372608,17.337111425317747,17.639319074993853,17.865924421839573,17.975772457621147,18.064898570621136,18.123349640994267,18.120593507891932,18.006053656622395,17.937029969973118,17.80241281356988,17.544959120937285,17.34496145819174,17.485518906410373,17.093286466966816,16.405534274016897,16.405534274016897,16.570484582882482,15.688253622396918,15.06134221674658,16.25794000395739,17.975203963820295,15.678716776621922,12.329973279027843,9.279694414300423,10.90510003615253,12.16111056787846,13.929430341622597,14.454730233179381,16.913069889093247,18.225882603480226,17.80861563007172,15.923027891765917,15.498315004301428,16.36481451064259,17.649717766247136,18.16935884725191,18.974828772127825,18.37316426141066,20.761782048523674,22.441342521683136,22.09600993124425,20.1100933088815,21.38288785646784,21.345663918794198,20.037061663183618,19.409255025567603,19.193037007480772,18.29156900617553,16.756681556778922,15.417656931780291,14.762704403293961,15.231233149387625,15.283560872934322,15.03045485140421,14.491596255374235,13.869462578250547
GM3_RSN30,0.5935600767190552,1.1963581200833366,1.835472992166332,2.507287988141103,3.076425364952254,4.09997411242585,5.313534999113609,6.60648877137917,8.102678891305585,9.342626254666383,11.141709062427257,12.761761806938631,12.742618710107378,13.263955575379269,16.19100725048209,17.576471580005837,19.610341625965408,23.010187460223396,24.047972908323807,25.677894016283382,25.46890328864944,25.71756113626015,28.269432700667306,31.319158650437192,31.204499665327344,34.347587374980606,38.03038904148851,43.323454220862764,48.44035045114966,52.165290358122455,51.504574769709805,48.34393174243762,47.43862602710529,51.7009508192617,59.57148056383612,64.85586412737139,65.92290377274789,64.77712883393404,62.850759452558435,60.66011362698447,57.83068470286361,54.42252888886511,50.9842204593097,49.881483203576884,49.94957886488212,51.31921261433341,53.08260565264648,54.7076688432998,56.53147964233333,57.836496143639906,57.89565442552912,56.88956545776754,55.02729845260674,52.62350254986157,49.85641221151497,47.2916936781382,45.0327378880339,43.22307945916962,41.33336690737422,39.460875188624215,37.49076251382234,35.40460801114793,33.31139520175007,31.115753404606085,29.991513244774357,28.981230435611728,28.80628706165644,28.74211615849961,28.136984470589084,28.62075740635784,28.706981005617287,28.80939150376961,29.3227987692709,29.58404856509738,29.462601412088407,28.796752337003902,27.207214643194952,26.303687155529563,25.760588613335603,25.41609768242756,25.042861798584635,24.20129089533639,23.631248023003177,24.362643242925152,25.01756411628516,25.579441931898398,26.07409878930886,26.51738188766239,26.893910705985864,27.11628210141615,27.28365078754653,27.31101573026606,27.320513913728128,27.170667969440135,26.938630832105314,26.494572684253185,26.366693695083228,26.483546641739576,26.519356220076833,26.46424443441188,26.46424443441188,28.198377404942928,33.94964386824353,27.99679769040002,22.318886487180873,17.494131039779514,20.861931722575743,24.18082588396512,26.754465199539286,29.100010030498694,29.139700751294534,27.486292064386234,28.288910893720917,28.27896690896344,28.094954801380098,27.994996593404387,24.660510119041053,22.69658543157622,21.65882092706676,21.698366316209878,20.021412220067695,17.956321623402726,16.50153377481809,17.0252323926406,17.06963691817753,17.36797937021053,17.733881850670056,17.361811684435605,15.674030272444783,15.07048009103129,14.882864464032725,13.746256587556108,13.341775471737067,13.39312528531014,14.039313578631317,14.27593207978321,14.028174529640955,13.461134027314266,12.80803594155899,12.009457858367286,11.670225998955424
GM4_RSN31,0.388367651732057,0.793069033503437,1.2513611387384107,1.702984191241557,2.320860875850781,3.49360073570657,4.401278292977889,7.444593946319946,8.303344026562208,7.631500442439486,9.021366271786265,10.679010010090957,10.01275877741844,14.564164278088157,18.887957340669082,20.801495540535296,22.11431356270689,22.551330601865697,23.844445580802052,24.50644595735882,24.780685137610366,22.690891689945666,19.835348427133106,17.49199763797489,16.15336995146942,17.002036244437278,17.918676644469322,16.639434724332602,15.180981064626758,16.649919369329883,17.860953443750265,18.861425631863888,19.63085985376699,19.541585345045355,18.19272413124543,18.367347443488715,18.73936620711548,18.88832935541188,19.066334097040663,20.45560238265378,22.288810386995817,23.62168321241847,23.440772175794233,22.385271257974633,21.276808846594637,21.559947472065023,22.517483399198618,22.700510683952974,22.599738558935382,22.220113109871786,21.14879367361075,19.433617182779873,17.910126810559106,16.44523085782363,16.793445431601402,17.142617617218267,17.30237422695926,17.583963550235087,17.958291419684162,18.17561922370718,18.61406616465177,19.183321021028963,19.487370245502927,19.611169611747123,19.566827854679392,19.619697730936615,19.442320278929923,19.046355477401846,18.413165740071733,18.195753463552702,18.323244764890486,18.59893866306657,18.939225288672915,19.473092096514215,19.34849015101571,19.47719841690028,19.56328061395086,20.30807722943622,20.644210574224765,20.863403255308057,21.02888756206056,21.22248381427735,21.537362000749614,21.930736803667834,22.309311908037397,22.516145552848812,22.655948606888973,22.711813522384748,22.810491103987797,22.814362395828866,22.681165604218418,22.452441606822,22.925700941429653,23.208107049341834,23.30668226588114,23.346867967070104,23.49486656852913,23.48225745414435,23.505567859294707,23.649860612108604,23.649860612108604,21.644739408792475,19.73932295081057,18.319899011421267,18.13068245601794,14.080155549165008,13.546470469818363,16.03221335693667,16.528789045972086,14.558033525095569,15.478770002878763,14.379539598664946,13.932221919187477,13.567294365266045,12.466432272897046,13.314324314005239,13.905976943589529,12.958442874990899,13.733063085579586,15.091979846650736,13.045979300321937,12.276184042181258,13.580786334299894,14.246571028829184,14.085568161607872,14.100736354001135,15.101122573971743,15.947349440288352,14.830400313216481,13.82965680561045,13.097164374727383,13.293851241862752,14.756932816246607,15.915154071841311,14.829711007274835,14.303779092659221,13.13000893923532,11.666681842854423,11.216022703011008,11.162930542953452,12.037176867444684
GM5_RSN36,0.1471177128960369,0.2956867242521591,0.4470382487952409,0.6060314880382083,0.7818696728774419,0.992315844052871,1.2151096805478634,1.4109612722370237,1.6239353804137575,1.7697349759922827,1.8565224420573947,2.010006654496074,2.3231514181602084,2.8335514315743846,3.539525354614743,4.475601791754658,4.489986871667191,4.952867621504748,5.037229457062403,5.699187273397021,6.151658947192975,6.486768083195078,6.874448592545666,7.978041643242611,8.43331156728129,9.162414500951872,9.465137620871284,8.764455381488679,8.192095297559774,7.862097399134484,7.3075122626462745,7.7129121671450145,8.91046507051423,9.446307747519096,9.778689960551569,9.761286594827206,9.402676545564322,9.8822537696056,10.15611291249528,10.22525717333218,10.138021454449,10.016664088294359,9.916776207755742,9.820926656557761,9.67515275301128,9.527391580850072,10.437143740719643,11.60939875838181,12.13581843968026,12.049425008159144,11.550844792506552,11.075615280156178,10.984962052976282,11.137775328454142,11.603399268119075,11.944095132875137,12.136950242936724,12.372392104020484,12.78972456599747,13.305491128535746,13.712968273567563,13.853286692253494,14.59484681458565,15.243360695416193,16.04258518810811,16.673245461337437,17.103353586404406,17.338839481742067,17.3784386354912,17.260392315279542,17.00589073339686,16.61430558375056,16.13328308590523,15.51774995521013,14.986827589077006,15.270173946664016,15.482750375950417,15.669142875394433,15.785475035505748,15.831171224441048,15.781611657594114,15.651509246545592,15.572923904151631,15.89898913031767,16.228506818251677,16.548665695100453,17.2639220937477,18.163387083041695,18.85527646104064,19.30895194561234,19.561377068862992,19.716387334054108,19.817252797092753,19.868343997118878,19.894834410952832,19.934430717494877,20.12112354995403,20.292494118019615,20.474541832029868,21.050175296964294,21.050175296964294,27.316929122487185,31.98712212943135,35.11640385896276,37.08733438188102,38.445954500817464,40.553617328108096,39.702212725476656,40.62863553130793,40.404100910359986,40.59223753823873,41.56995171176145,41.05155838626644,39.44838214559006,38.30858580586686,35.390861200307484,35.2373391451512,38.894739442448184,37.47386469036702,34.1582317995943,33.7536187223462,34.4919114803119,33.34988502940214,30.14928391064559,25.830741383957566,24.754091883874327,25.32239771920037,24.96559691212323,26.09460264802556,23.751369871373143,23.197499333302755,21.652589433703803,22.6008609801344,23.967967994396897,26.800465620489764,28.890787848362752,29.08868949510879,29.042491895349087,29.33767199792896,29.385724930145983,28.416025143124447
GM6_RSN53,0.010843183780366692,0.021720604518688486,0.03273449210127535,0.04387164184072614,0.05653596230942307,0.06991052761176059,0.08409758982242915,0.10094507259565091,0.1165945648983757,0.13105502208282432,0.14370853990174665,0.16175553543739546,0.16957294240812093,0.21220475532580285,0.23743941150353753,0.2793456052182487,0.32900227364916135,0.42288708862570495,0.4244482293740886,0.44644473047116817,0.48209426722398524,0.5898475634619408,0.6304053901603092,0.5688018490784151,0.5295647030399614,0.5542576960993775,0.6619740473860392,0.7794699367388348,0.872381177496414,0.9464890229736637,0.8996638636700368,0.8531890077414692,0.8495072664511067,0.8891230435170542,0.9544153879924805,0.9566017342627864,0.9505766618942796,0.9580999895585519,0.996313339370984,1.0185245400065028,1.1423094090301642,1.275913753942259,1.3352076938850153,1.2878068675488752,1.23220825040648,1.2267299105931553,1.2190562663161497,1.1962302660226036,1.1784502568904505,1.1578688597398508,1.1360423419866474,1.0965942217186453,1.1486724601027196,1.2109508915213683,1.2374670166068866,1.3034914583769446,1.398284175582623,1.4763163963656747,1.539012751570271,1.5840252007283127,1.662366171064505,1.7018267355188044,1.70410589182878,1.7207916377867287,1.8076540736661542,1.9187291529425698,1.9873888223299923,1.9900534676562265,1.9525497096572528,1.9030852987611184,1.8849735581744622,1.8536294818949157,1.802493812708768,1.7628987853539473,1.7416528533331126,1.8142089647077755,1.8304812932540047,1.823772735680423,1.8738373439361034,1.8962632373076331,1.8922442603325864,1.8651049130212112,1.8192222430144525,1.7617427575382494,1.7060861048052898,1.7915793378998228,1.896766593817487,1.9829657308874442,2.0336121420741105,2.049674718838047,2.032709915634581,1.995206265434718,1.9601801473582259,1.9316628441144224,1.9194138097890039,1.9333082605192378,1.9592774458786058,1.9904229499310344,2.023739709693854,2.0398209990995606,2.0398209990995606,2.179354332089641,2.1201772478196004,1.777151908948386,2.07796453443285,2.0312894493358447,2.158012071028534,2.2316966594621874,2.5069116133686733,3.0804100465613167,3.282003556631183,3.415653555325604,3.589960953440072,3.4994915432903198,3.228476247688946,2.933539992725607,3.342250822262069,3.313711909216821,3.0188318531042837,2.914756027340001,3.0658615419898596,2.8059195814446727,2.827060663097406,2.7324192898594695,2.4473902802892025,2.4164392512003814,2.486197319841409,2.6367446635759793,2.7360747818836217,2.7050610172559604,2.67805589514191,2.4617245264844745,2.547244815669146,2.7611616038695757,2.9943790647163175,3.2168423992299005,3.049718687447414,2.8062027424891847,2.670002692508342,2.8640297540994197,2.9348565527794253
GM7_RSN54,0.014130772607124609,0.028387737551968502,0.04607750953615902,0.062252198572930365,0.08536877783446584,0.09388958030143739,0.11649939795557755,0.134434774827539,0.16629135516849133,0.18968601150924327,0.20526628917616707,0.26176263933658966,0.32521598150537134,0.2680267223235289,0.30581194619053026,0.3505524905077899,0.3787980293271978,0.43130301301986257,0.5050941137647914,0.5245274004677031,0.5429893089107416,0.6088257043033395,0.7037146902131892,0.7142727537395673,0.8417447478772806,0.8852572894631986,0.930361822776387,1.0149655829322402,1.0168255003864564,0.9597978530762096,0.985585083189233,1.0865019595148782,1.22398869695828,1.3452749344941128,1.387390255379649,1.370998836480057,1.2731675858612927,1.1912803648319057,1.1928016893456084,1.1660568399206777,1.1399480237262694,1.1268935260935413,1.1225031936857472,1.2358078437787008,1.3950022817546714,1.4813250586833233,1.54811290288036,1.5860110413290274,1.5736010296623042,1.5321700734736727,1.500980672708551,1.4994701051887578,1.4738509750902078,1.561002580415231,1.618512331253225,1.6337043938105207,1.5992532629395593,1.6465168731159627,1.6911209339365463,1.778142123471265,1.8307542954235707,1.856719633042744,1.812378194645666,1.7948273595599662,1.7652576028753841,1.6651257680313172,1.5792396402364604,1.6363451871929007,1.7359304652111285,1.8284258058221694,1.8978498464214262,1.9858042570563224,2.051847833885011,2.07650962162397,2.1855875854834252,2.328619440991049,2.3977237433669925,2.4404394246419314,2.5063085631919906,2.6356376812771223,2.7408295564935785,2.8075554052638916,2.8291232454474486,2.8092484023526714,2.8032385810841203,2.872038053353086,2.9307536873919626,2.9601375851930958,2.9200008401407427,2.832415650504986,2.7301836180633186,2.6348621797582683,2.5514414058204853,2.4791411650578095,2.4068609272130472,2.3421097697405635,2.323091803655341,2.2786762128691116,2.1793634883644555,2.0882164406150188,2.0882164406150188,1.669438495140809,1.9846582984160381,2.0314252507979305,1.7032733125076254,1.6317000609054566,1.6927701085858433,1.686916080866461,1.5690032549819284,1.667395171718979,1.6960950463985414,1.9973537026742991,1.7591128779408909,1.6688899454246504,1.644158729589187,1.7788574579359198,2.1675083184821906,1.9850723022236032,1.9722618114446604,1.9711215997045837,1.8242831989002433,1.9165314070972923,2.210971684438878,2.118711719743777,1.980817471900268,2.0644499617534704,2.135352678664455,2.379238971706807,2.6279430248898406,2.820864158739866,3.0951746216667044,3.4480621980029196,3.861416709206623,3.8639798869149704,3.543215839344632,3.154826025302864,2.8936915291664174,2.8046984418869685,2.8765193836065923,3.092359091374119,3.409386833609634
GM8_RSN60,0.006804702151947848,0.013807986082585837,0.02196329431341317,0.03705887401322277,0.04035378839875481,0.0578878746463156,0.06920916268480448,0.07387087165045368,0.08893061773856233,0.10592963222034346,0.1175680707264621,0.11734337981725068,0.12646228367768014,0.1479825911179653,0.1611646371746704,0.16556262026449267,0.17650325079685722,0.19011167279191002,0.1951533813591258,0.19322284990558863,0.21096425383120362,0.22034897771994272,0.23877192114165185,0.24942468428152767,0.2709894806379407,0.28685605938154346,0.3004000737992577,0.3108654983258087,0.3229425772591955,0.333252197761007,0.3556506577513196,0.37788936234716675,0.3783915799293407,0.38714498621403887,0.39233401421965275,0.4005541866476858,0.41345873788280213,0.420451412983312,0.43034557522838024,0.4621366260772535,0.4661981512877497,0.4991598958932865,0.5320511285451632,0.5633601269028898,0.5594867593899231,0.5661826734588387,0.6135375576432678,0.6448404063182863,0.6737392765692765,0.6992077219045902,0.7077621013080677,0.6933529055021793,0.6893238528194815,0.6875930510142382,0.671112328448438,0.6470349063655965,0.6842701147037679,0.7143299666054945,0.7638557774126724,0.8185646906038623,0.8809569381161034,0.9476612363872196,0.9800742113295894,0.9982058326361828,1.0319350273660481,1.0830897010348637,1.1093417540155865,1.1024564082160462,1.065015465353549,1.0349260765956234,1.027006288075298,1.0498283085584836,1.0468240479058677,1.0503842121446292,1.0631305804007911,1.117694029429788,1.197814419659399,1.2680273821938344,1.319396819936739,1.3561407928313658,1.3825542489216556,1.400510104111936,1.4140692508378632,1.4076931375725683,1.3945494294365963,1.4472964211172528,1.5107033334051323,1.566013505070052,1.5964205437380998,1.595011188052561,1.5642313485836665,1.5154912258554751,1.4627376200336664,1.4376721194133693,1.4177284762625808,1.4087446557478362,1.409112189285485,1.4574709551321552,1.5402322834101774,1.6021366838090287,1.6021366838090287,1.746785722851109,1.9740196846636247,1.6498680476117835,1.9722652098513485,2.1389366101052785,1.8622261211407802,1.892557737412633,2.4475448713085957,2.637701035540747,2.630461713557064,2.5347725668594294,2.1440606763568786,2.5465655633699975,2.7622284214693136,2.636058885376496,2.441838069367841,2.7387777039492294,2.7823796971846986,3.0070138350599303,2.9047729480137265,2.726042851577299,2.782541947301408,2.6855199854384417,2.5744222532910728,2.25459735435605,2.1672186266502655,2.1885080106915304,2.144627122361441,2.0290271960526396,2.0462855634534667,2.211989864814712,2.2877324566850192,2.079371691008036,1.856598416725942,1.7044439961143032,1.6563880464248528,1.7337733151958912,1.8870161937061067,1.9857523831280224,1.9398015579650008
GM9_RSN61,0.008861379010477944,0.017810402264077922,0.02707552519543548,0.03751540665940117,0.04762288439401026,0.05945769433571475,0.07107948869464897,0.08548079852786923,0.08994727362533891,0.09923723770518372,0.1096244657362122,0.12956588032770297,0.1464137794062162,0.15426747746056854,0.15792744242474155,0.17218538907806646,0.19644570220048194,0.22125969774532156,0.22466585237872183,0.24879807531574638,0.2695180565039322,0.298981044518674,0.30724055926228605,0.3526820069766372,0.4074934379062134,0.439221420184142,0.4356378513229993,0.4655987454275235,0.5310085305691105,0.6123032587861151,0.6427290424975742,0.6752159678437455,0.734440617538372,0.7720785200883128,0.817567179104437,0.8570906178874866,0.9318288148093073,1.0142927176786356,1.0735151034329256,1.0658216333095103,1.056702034861403,1.0158242265576705,0.974528804050061,0.965111290694984,1.0320614599823075,1.0266707861084778,1.0066693269408649,1.0019444092112912,0.9883067849284773,1.0248099659123198,1.0453093489276115,1.1096360866160657,1.1199930700073426,1.0708534156045428,1.0191356177549327,0.9721895780798437,1.0039972395375425,1.0397631016202642,1.0257631097004225,1.1206022154461153,1.2163387411887139,1.2755690892268268,1.2867525493725462,1.295205551390436,1.3535827027933853,1.428127402804683,1.5321064663446657,1.656494301619178,1.7782302207821654,1.8831397696658583,1.971660271184593,2.0488782918269903,2.1030498079463693,2.118935520984526,2.0928021298544657,2.0327910179613795,1.9768203296075388,1.9423710113890609,1.9244202450791776,1.9486413921755545,1.9427752699314242,1.9228743193545603,1.909107769313036,1.9354181843802385,1.9915824819932693,2.0285033524398735,2.0458774098878902,2.056861344945732,2.082596024239591,2.158447998358053,2.2328509377924792,2.266507539732086,2.2608358348446003,2.19873403447969,2.155645143626925,2.168861231770136,2.171233638713696,2.1717530575690245,2.182498704441626,2.1944723114317517,2.1944723114317517,2.344775163672577,2.535798929395447,2.1652310509094215,2.7218851065740837,2.4090409629591876,2.1873491698647713,2.3671456126040975,2.4287474051745073,2.4405707447122675,2.0580090173471,2.0857982951124847,2.0826878740607353,2.0900511714134917,1.9896034680014454,2.2407941485327596,2.09837740546777,1.9279643647986782,1.9636586664907272,1.9688275759191556,2.2369193352618506,2.160045311678353,1.8313670850316246,1.869097422389455,1.957001332824404,1.9979615210880985,2.173581078881513,2.4157025030748493,2.6021163581127857,2.4715853018355256,2.2941410063422167,2.1901657178982927,2.256531478952361,2.367510460680866,2.4026892840387215,2.2069803728414756,1.9213256250418158,1.7447739537689217,1.6586203496893415,1.6149437301072662,1.5940871177521763
GM10_RSN62,0.06006845345520725,0.12056523054928146,0.18248008168091492,0.24717402620168924,0.31484832332419305,0.3839796817388481,0.4705951813464444,0.6040640266113727,0.7805832010341084,0.9918202655644416,1.160395219573157,1.3635167441744105,1.8493708112457976,2.1050800803182037,2.1320152706657645,2.5730671491771484,2.652378229316709,2.650522541991757,2.5916988954312847,2.7138815346141882,3.2301608024136996,3.5088807571545817,3.564882832747645,3.695519411723348,4.094138207089715,5.114821760417697,6.462276846633901,7.636565434513552,8.043322185773203,7.5837226198255525,6.624658191899022,5.894806263752372,5.547059860428776,5.324209071126317,5.181606080414263,5.300870821687927,4.971100364833608,4.276342637146988,4.506106671153661,4.496881594518843,4.386111602823075,4.409341705680797,4.80926005491544,5.257540858951471,5.550342983507191,5.559003045031494,5.444271214209033,4.998412507333852,4.595676726983814,4.414215640937327,4.465061504669583,4.597567488212516,4.567655524639044,4.426583067427103,4.393668289960173,4.30295202235394,4.15728270913431,4.027950927983783,3.966625168940648,3.885358523995571,3.7902415979464252,3.5681298583370253,3.420574234532467,3.4923547353395077,3.69709855840651,3.5543575677668877,3.542723305088442,3.4935898124456837,3.35966817633032,3.1923465290486055,3.0168962802932313,2.9692286625892637,3.106415502444269,3.2610660087953636,3.3450016694232683,3.370052202316397,3.3481144719711398,3.32091475204563,3.482316748452001,3.456761116033844,3.3143879425835205,3.273434322702476,3.302384212169073,3.339881202002936,3.3015150153459816,3.3732755719544625,3.3828752219920895,3.3049052067106586,3.226913537483678,3.142586158394328,3.0517740180630133,2.9556997645022296,2.9483279495382035,2.925275035531406,2.845574147514464,2.7578474398623642,2.7211686839351605,2.6381842531283444,2.577903836043968,2.530393312807402,2.530393312807402,2.933876592571205,2.7700653465777956,2.832270707510001,2.976035797936037,2.4277121286157404,2.3365644631011917,1.7514747936509882,1.8596326430976249,2.2934801096056896,1.86571366450565,1.6058392805631925,1.6870911422781962,2.1246966262048192,2.549340751370211,2.145596636892409,1.7393220764769308,1.5245492295091867,1.5158246495315044,1.6529096107776908,2.108399453467216,2.647507863599236,2.620596323077016,2.0384980084714317,1.6316336587426772,1.3214900491003687,1.1177633964859357,0.9836643806101428,0.886981985498051,0.8734812792048522,0.8708029991875281,0.8829323281445309,0.9130769423407485,0.9640843865567594,1.0431668270486083,1.1474065128825146,1.277870687913992,1.3228499219223777,1.464381031202944,1.3428498344586668,1.1613447508523393
