,PGA,PGV,DS_5to70,DS_5to95,CAV,ASI,SI,DSI,SA(0.05),SA(0.1),SA(0.2),SA(0.3),SA(0.4),SA(0.5),SA(0.6),SA(0.8),SA(1),SA(2),SA(4),SA(6),SA(8),SV(0.5),SD(0.5)
0,338.4262166,41.10068197,6.36,12.98,1099.61937,268.6302287,129.8586609,48.88779307,441.5111776,592.3628146,616.3254129,775.8472455,589.1295111,597.9640053,597.563744,689.7577621,512.7971041,161.3072823,49.43711334,16.08780834,10.42774241,47.58446362,3.7866513
1,301.8419204,22.98590684,5.66,13.46,954.2136654,248.9872385,106.3174518,66.91611791,318.287187,467.5498633,820.8559101,656.5775629,461.9641828,495.3458448,654.1812296,429.6728761,285.988695,126.4742703,51.32830814,20.7154743,9.999587013,39.41836987,3.136814207
2,226.9010702,18.21268512,6.4,12.02,844.6047534,201.4067584,86.96002431,31.43357793,271.9451456,447.5705262,533.847955,454.0784074,374.9990518,540.6380471,497.5966456,295.2741765,227.7820114,98.08007044,28.97663744,8.956284978,3.639128174,43.02260881,3.423630429
3,351.4116922,27.36987149,5.8,10.64,1183.699743,325.9662591,95.36598963,15.96279376,445.802904,983.1902614,1005.92876,617.6946654,813.6460021,654.1093409,636.927842,595.3272492,442.0275311,54.25690432,14.13901419,3.515841912,1.876333803,52.05236747,4.142195791
4,105.5880044,9.254587933,12.28,25.72,569.9297221,93.68815785,36.63006742,24.60577667,163.519838,211.3180788,274.0778537,202.4806935,163.8843365,144.8023589,102.3439999,92.03077269,86.11709698,57.66347073,28.56567507,9.867002085,13.21189938,11.52300559,0.91697165
5,103.6207904,10.96655122,11.18,19.72,575.8222225,104.0575211,44.44077157,28.62489328,112.6934421,143.4033716,230.8934545,263.8300476,291.8962906,253.95577,177.1043107,112.0661136,107.5262966,61.99842093,32.26659788,11.36658107,11.94620802,20.20915806,1.6081937
6,116.634215,12.69179761,7.8,12.36,446.134083,82.11732646,48.16768375,21.98179683,137.0633998,158.4345762,252.3931587,256.9152963,167.0466409,188.7682931,274.0394773,419.8030251,148.1584789,51.22561094,21.60958973,10.98747951,14.62973209,15.02170348,1.195389181
7,88.39952612,9.551311974,9.64,14.1,395.4650751,73.96225614,41.47170404,14.58109695,94.74722945,104.1847915,168.2584143,200.2295005,218.4449204,213.0134004,308.2208089,207.1651145,217.2838337,31.08155347,13.07832986,5.392814128,3.686878714,16.95106781,1.348923116
8,50.51299503,18.38886629,21.7,44.3,517.3565148,38.56208566,45.72917717,47.37448745,53.35273609,68.5460132,87.53995559,104.1172354,115.9664282,99.64097433,93.42081629,121.1973571,143.3312035,87.9769105,45.20826129,32.44181918,28.35113793,7.929176799,0.630983841
9,38.72001788,11.30326674,28.68,49.78,462.1572175,34.13107866,33.49415206,44.96547153,39.58703656,51.34451363,81.43061662,91.83558112,77.1491058,97.19311681,97.18799087,88.15389405,81.88456547,56.74687159,32.03300348,21.72945739,16.70417297,7.734382487,0.615482602
10,111.3756931,9.532221765,7.74,13.48,454.6555097,121.5646177,22.87574538,11.6976906,147.4656175,188.2914771,307.1762712,410.1094076,223.0787332,248.0513086,149.2506563,78.31209113,70.58386449,15.40180474,9.645681686,15.38667602,9.774669534,19.73929595,1.570803262
11,119.8013707,16.51061226,7.84,13.5,442.0770633,113.6157429,48.88531487,33.53811793,167.5026059,193.7983406,294.876098,192.0492766,391.4498945,239.0061391,272.3843707,133.7088734,124.944988,85.76745166,27.79008771,33.83503916,34.403057,19.01950423,1.513524057
12,79.82197298,5.543741862,22.56,33.08,688.1973281,55.20334693,24.52280084,9.192293543,105.4623224,365.0931301,167.7521852,121.8199666,88.7992079,128.6423647,115.6101909,114.2445589,77.03944882,24.41906648,10.87236611,4.751783818,2.064483209,10.23703412,0.814637291
13,95.18683607,5.642844365,21.24,31.86,644.3172637,66.87107212,27.69705595,9.604002514,121.9825854,255.3837319,189.7908198,148.6795513,169.7936571,137.5483289,86.20005437,131.425897,100.4850052,35.70218413,7.628192924,12.10983394,3.31548813,10.94574823,0.871034968
14,74.15998592,10.76637393,25.18,38.94,840.2695806,62.36992051,50.49643467,34.67889632,133.8630829,144.7216854,159.0513124,184.1718466,158.4174635,114.2340168,135.5909284,134.7495766,218.5225253,70.67818387,27.58188076,9.890418404,4.797682863,9.090454221,0.723395362
15,87.26421025,13.91190287,26.22,35.78,879.2128239,69.82604512,69.41556774,37.41668152,117.7295423,158.6748989,184.6182748,182.0460689,158.7793083,217.2877092,236.7233078,182.3164344,213.8775409,123.8885794,23.35652576,15.90531051,7.975030598,17.2912065,1.375990493
16,65.54141157,12.82372221,17.94,23.1,484.8395002,60.68765281,65.76383736,34.33404464,68.42536984,94.89442726,183.5601529,214.1616934,165.1250396,96.33103676,107.3127,104.8988244,102.6888213,136.9926193,25.13166671,17.82327648,8.315382154,7.665780337,0.610023417
17,43.24458064,8.588441205,16.98,28.16,439.7047923,49.28077538,48.02683053,20.27987556,50.15103648,82.80524907,141.4284604,105.9298152,134.4490881,93.88577702,98.34946892,90.34023273,104.610254,81.55358809,14.11462603,7.811981313,3.405690677,7.47119275,0.594538628
18,239.7942652,51.10737986,7.08,17.58,964.2084558,173.9540004,149.2785591,93.24113247,269.6421205,307.032542,400.3603412,369.6260736,442.9398015,534.6213977,470.2299992,418.2134133,488.2383997,175.1102108,80.24696671,89.34832735,62.91635475,42.54381906,3.385529551
19,148.8216997,29.07993292,10.88,18.84,871.9031063,170.8286908,91.16815153,73.56672728,178.2006598,402.2961279,463.6368521,403.7124827,463.3281495,433.3357638,223.4563667,252.3685264,319.1299519,109.1550459,67.66988317,52.99237897,37.3171511,34.48376441,2.744130781
20,167.221819,14.48269315,7.09,12.76,619.2130898,178.5141795,66.37375245,19.79446808,177.5910422,320.3699243,401.3811792,543.9392038,407.7796957,416.9236564,415.8095425,211.2390352,251.9893856,51.6058079,23.4559191,11.95261764,5.412545108,33.1777304,2.640199897
21,136.3594089,12.65917196,7.365,13.025,513.5144491,112.9503758,61.62810073,22.4378434,153.3463742,225.7868111,345.8184841,321.9039472,234.5004825,215.326037,272.3351668,139.9767604,174.810749,90.89324149,22.25487416,21.86440474,9.601369357,17.13510158,1.363568059
22,166.263219,33.50291551,6.885,21.16,751.3067568,178.5805641,65.7404807,75.26266911,194.6826435,247.7315461,476.9281216,541.1868478,414.7374266,280.1574863,249.6396162,206.9604948,145.3142778,113.5849156,56.64278675,62.75698394,38.63328493,22.2942244,1.774118008
23,158.0130805,18.65564916,9.805,27.51,739.4665103,133.6157113,83.12141374,68.2141003,164.4768386,285.8511704,425.409028,370.4329883,280.3252173,255.3539521,198.7300029,230.3718809,182.4116461,150.797723,49.42964166,25.86170609,14.91581266,20.32042186,1.617047792
24,362.5777401,34.7455062,1.95,10.985,820.6964332,345.4725521,120.7972638,39.60066348,413.779969,553.5777247,824.8692992,702.7836362,1409.054726,664.6624565,641.1468649,547.4484576,294.774405,132.1127548,32.75671268,15.74804225,8.233853589,52.89215772,4.209024176
25,316.4779533,40.35732556,2.695,9.395,853.4210535,333.8860384,185.0466996,53.87137644,373.5616754,501.5704757,896.7807262,1227.28039,821.7717188,738.1113739,469.1063169,406.2675338,398.5703109,246.2269373,40.55369668,17.55713675,10.00879546,58.73703686,4.674144879
26,548.3128471,36.2934406,1.745,6.375,999.9996439,545.0281747,95.55523623,45.60697958,711.3851822,1286.783217,1994.524128,1048.368074,1072.433472,1041.169973,695.0745472,484.3083769,262.2200193,73.40316163,45.29664863,19.27950321,10.02856861,82.85367391,6.593285878
27,361.1065464,45.41129301,3.055,11.37,940.630489,333.0234937,166.1879527,80.04150631,477.8653323,826.6914719,1309.140367,1210.061953,472.6227933,687.2374707,485.6610934,420.416233,372.5112038,294.5084624,59.0961713,26.36315247,13.42261389,54.68862027,4.351982123
28,221.5614473,16.57964627,4.54,11.475,727.4537842,245.7295433,48.11038529,15.4441329,312.5040172,383.5948777,699.7460116,485.712953,571.2017281,508.9589009,484.502221,240.9941402,106.7422089,42.9998498,13.42773492,6.722747871,2.798081431,40.50166246,3.223019892
29,317.170597,16.9673416,3.68,9.07,698.7612692,314.9628611,44.98369639,16.72181245,385.6213778,473.1248899,614.5346078,649.0923863,1051.240956,709.2212822,312.5484747,145.9298078,87.06758495,25.75644838,12.93921371,15.60113961,4.620522789,56.4380364,4.491196236
30,192.3215474,20.03469413,4.7,11.575,561.3678598,146.206698,87.45601447,25.6891305,201.3617008,190.0723108,416.9654151,562.0764255,277.2656112,266.8376687,311.4769246,401.5181241,359.2886181,65.44298419,24.7253164,9.774992172,4.995970384,21.23426699,1.689769277
31,242.0077242,36.84305879,4.75,12.555,681.3537279,190.5078718,131.8202495,40.22386886,243.1533762,336.2281355,421.8330439,470.7987957,467.0246044,549.1172199,363.5261265,454.5438516,528.3457487,127.5299111,32.78464594,14.31728633,13.94712746,43.69735995,3.477325418
32,123.2028072,17.20564415,3.745,11.96,404.0410462,76.55958725,57.1499261,16.15481003,132.3086279,157.8132523,207.1268872,156.069982,189.1584438,234.1746046,247.6031917,388.7213501,403.2416566,49.2925947,15.02702596,6.563262322,2.530986531,18.63502294,1.482928007
33,103.5898995,14.82577089,6.33,13.775,385.5446636,79.77254779,52.46101478,20.78649117,118.0650023,148.6835681,242.9643158,266.3865236,182.3315062,189.8403473,224.8102973,224.2433513,256.9176352,56.12019626,16.81939718,8.315677335,8.985539196,15.10701483,1.202178043
34,89.74787184,11.86127255,12.765,21.5,429.5481048,73.84015995,39.62755636,49.63930406,90.35331284,129.972422,201.7730702,208.2650215,185.4443644,187.5606738,139.6717883,137.3941899,101.8509098,50.7050367,50.81572141,23.39222981,14.73201741,14.92560418,1.187741842
35,110.129366,16.23456723,10.505,20.35,486.0321449,107.8060586,51.79080834,44.06711319,121.4226904,179.3142432,354.4011455,171.2919279,249.3208059,215.7637598,176.2488129,140.337852,82.68999054,77.01597464,39.81740947,17.64966348,7.785148357,17.16993445,1.36633997
36,90.23738059,4.812510761,4.975,13.01,285.3382581,80.14136848,16.42423022,2.757191523,102.5409076,150.087698,281.1257891,236.5333442,203.9704227,176.3721433,209.6049717,94.82404003,42.79924399,9.881198192,1.666758828,0.81092856,0.39080579,14.03524921,1.116889645
37,85.2128552,5.946891434,5.41,13.635,288.3824643,81.56302084,22.79279197,4.177193779,109.3729045,203.9630913,333.4933726,188.2494988,179.3676218,167.3907768,168.7760926,71.48209774,78.17618469,25.54546321,3.144106134,0.929354646,0.465844314,13.32053478,1.060014477
38,200.5579566,30.66576784,1.465,9.21,475.1935493,179.596523,77.88993659,19.24646326,230.0469248,313.5207766,415.6632508,508.4569436,426.8294281,483.4401922,576.5182769,556.9874881,393.2891808,41.05644342,16.56328965,8.322728316,4.197657099,38.47094814,3.061420781
39,152.0935904,12.7344837,4.345,12.38,408.0461861,109.793255,41.03335492,7.343289744,161.7671151,325.6887041,379.2574278,218.4704109,221.5538295,314.7011256,264.1678161,336.6837495,189.0211713,25.37388998,6.236330186,2.480974577,1.256577059,25.04311987,1.992868159
40,57.18974481,3.963495452,7.355,20.125,216.8659597,49.40637831,13.93524523,4.640426126,73.95210063,163.9925862,127.0252962,76.86343318,124.0182213,122.6959711,84.40772041,61.69928966,46.77090194,12.7264045,3.814680938,1.388030299,0.614865187,9.763835149,0.776981314
41,67.47717563,4.708937678,6.09,17.07,234.8944464,59.90478079,19.41674027,5.031066915,72.73290554,100.5826785,235.7203945,137.3820806,129.6906103,110.1600559,73.42164521,107.0196557,58.57696704,16.61005364,4.887533352,2.070542738,1.30185142,8.766258712,0.697596703
