GMID,story_1_sdrX,story_1_sdrZ,story_1_pfaX,story_1_pfaZ,story_2_sdrX,story_2_sdrZ,story_2_pfaX,story_2_pfaZ,SaT1,PGA,PGV,Sa_avg,CAV,SI,ASI,DSI,DS_5to75,DS_5to95
GM1_RSN9,0.0004865699513163547,0.0004393695142747159,0.1230970530168798,0.11166790189476263,0.0001978375773304958,0.0001838093322984447,0.1682110548056567,0.18062529544671138,114.17440006227568,36.502123620462285,5.937848771011892,88.18461758457657,283.7195396136379,23.86233804456801,52.23922607806325,15.52231812977153,19.685,34.455
GM2_RSN12,0.0005063899869053491,0.0004892553460760547,0.0958575962398803,0.09805767481051915,0.00015181832010663268,0.00015957720670571984,0.13383948380856486,0.1329473094849607,94.48821883124802,41.26856370900376,7.2956143669629405,108.3065174713573,366.5174567102598,31.55005091405642,48.97959009634932,29.36210524311518,17.045,29.345
GM3_RSN30,0.0032904522857807846,0.0026122958329599668,0.5750306522780403,0.5713064117607604,0.0008897930328250493,0.0008554925334975172,0.6396027630299309,0.6632382756422858,678.2073257644481,267.6801063611396,15.747787088997155,432.39558738625806,488.0622854723702,72.35052555369525,332.89228677386063,29.018868049151063,2.17,7.52
GM4_RSN31,0.001562677003222356,0.0016108551912571154,0.370275596488366,0.6015343526908657,0.0008062114663870762,0.0008136871782816787,0.5771213235482715,0.7587483262702257,791.1769069701785,213.75706713338883,9.27682929667528,263.70126567544537,376.0267329058338,41.96604029519048,182.46646150386636,22.81414051102072,3.84,10.84
GM5_RSN36,0.0004931887331620622,0.0004886786059855703,0.147833707597152,0.13051561340893925,0.00022615156954131476,0.00024223637921460118,0.19715053211681471,0.1655725135691057,148.26329135003311,44.92460437025052,12.420486352763987,140.32073004340882,511.5687417705348,67.15597517937256,64.88671574634039,49.46210876905167,24.58,48.15
GM6_RSN53,0.00019605999897990382,0.00019928606845437036,0.012055889025371705,0.011788877630483398,4.453520339461807e-05,4.666067739188966e-05,0.015694995622744637,0.015196969764061997,9.94583881136263,5.708154485737863,1.0020737754581404,13.798335001212187,40.52566961180984,5.1506621139106885,6.043732825991716,4.788176617094392,21.405,32.21
GM7_RSN54,0.00019690677374839118,0.0001941743410881054,0.015749137373451776,0.013814109229644218,4.210335157537938e-05,4.1792387144072065e-05,0.019516822092808726,0.01791017365282713,12.809820847095558,6.831759762127036,1.1917890387703338,17.08989785753887,34.87251635786458,4.086807169583233,7.451272909424064,4.364973035165317,11.87,20.625
GM8_RSN60,0.0001710383220918633,0.00016437540051662223,0.0063073956769740215,0.00503513007673728,3.427417272291194e-05,2.9734585863939627e-05,0.007649719125696033,0.006424616648688232,6.75084853555212,3.881085995661577,1.1190874071055883,8.00532567002826,23.92671700691901,4.023523133868527,2.820598906691958,3.765412964869427,16.765,23.91
GM9_RSN61,0.00018269428200138062,0.00017906041822245375,0.00742279142575335,0.005995442261088968,3.539594182247449e-05,3.6235116156844296e-05,0.009227495917709041,0.006976799606356576,6.615249238957241,4.266593112974563,1.4863054523335908,11.82796255197602,34.350701877414075,4.522242986436838,4.581052603466474,3.480099974901909,16.490000000000002,23.15
GM10_RSN62,0.0003090802035459403,0.0004108903513517933,0.06432035287221131,0.09012020124787899,0.00012126058083482857,0.0001512867232145639,0.10267666288777967,0.13768082952051494,89.3056468221976,29.024204307174763,1.9738623342514043,46.87922213973119,72.96077260420608,6.905155027820865,37.71659830436075,2.398445944948216,4.745,7.115
