GMID,story_1_sdrX,story_1_sdrZ,story_1_pfaX,story_1_pfaZ,SaT1,PGA,PGV,Sa_avg,CAV,SI,ASI,DSI,DS_5to75,DS_5to95
GM1_RSN9,0.00018320023069581546,0.00018757160471937116,0.113712433294791,0.11709052772927421,168.2398847632572,36.502123620462285,5.937848771011892,88.18461758457657,283.7195396136379,23.86233804456801,52.23922607806325,15.52231812977153,19.685,34.455
GM2_RSN12,0.0001514722021494371,0.00014857406761612223,0.08988283773959913,0.0826155242457996,116.49549361505392,41.26856370900376,7.2956143669629405,108.3065174713573,366.5174567102598,31.55005091405642,48.97959009634932,29.36210524311518,17.045,29.345
GM3_RSN30,0.001787917206136795,0.001482880763783792,0.6792218377308121,0.5257658245535088,734.4918284901933,267.6801063611396,15.747787088997155,432.39558738625806,488.0622854723702,72.35052555369525,332.89228677386063,29.018868049151063,2.17,7.52
GM4_RSN31,0.0014589835402087305,0.001654846435896696,0.6019416178929526,0.5801652291683651,648.0503512412272,213.75706713338883,9.27682929667528,263.70126567544537,376.0267329058338,41.96604029519048,182.46646150386636,22.81414051102072,3.84,10.84
GM5_RSN36,0.0001976441701594053,0.0002398224769157388,0.12686269858311552,0.15842065865707655,185.26166323369452,44.92460437025052,12.420486352763987,140.32073004340882,511.5687417705348,67.15597517937256,64.88671574634039,49.46210876905167,24.58,48.15
GM6_RSN53,2.6361127018016507e-05,2.6792490736025272e-05,0.00920198010512469,0.008976777582129657,16.846007019180657,5.708154485737863,1.0020737754581404,13.798335001212187,40.52566961180984,5.1506621139106885,6.043732825991716,4.788176617094392,21.405,32.21
GM7_RSN54,3.387473306787818e-05,3.3440753502276204e-05,0.012589866369386768,0.014186726394097097,17.38802145414548,6.831759762127036,1.1917890387703338,17.08989785753887,34.87251635786458,4.086807169583233,7.451272909424064,4.364973035165317,11.87,20.625
GM8_RSN60,2.1778386118810543e-05,2.0212696437882775e-05,0.006185741267723332,0.005878171021347958,6.293152087554482,3.881085995661577,1.1190874071055883,8.00532567002826,23.92671700691901,4.023523133868527,2.820598906691958,3.765412964869427,16.765,23.91
GM9_RSN61,2.2740269054257053e-05,2.0690491213840223e-05,0.007088708786047318,0.0060480910047791495,8.538878663840629,4.266593112974563,1.4863054523335908,11.82796255197602,34.350701877414075,4.522242986436838,4.581052603466474,3.480099974901909,16.490000000000002,23.15
GM10_RSN62,0.00014285733729073904,0.00014838035288069644,0.08926448794256565,0.08276119015742393,100.21340008181296,29.024204307174763,1.9738623342514043,46.87922213973119,72.96077260420608,6.905155027820865,37.71659830436075,2.398445944948216,4.745,7.115
