GMID,story_1_sdrX,story_1_sdrZ,story_1_pfaX,story_1_pfaZ,SaT1,PGA,PGV,Sa_avg,CAV,SI,ASI,DSI,DS_5to75,DS_5to95
GM1_RSN9,0.0001397882122820088,0.00012638546964742437,0.10887085094069793,0.11129705547012538,120.1673693308903,36.502123620462285,5.937848771011892,88.18461758457657,283.7195396136379,23.86233804456801,52.23922607806325,15.52231812977153,19.685,34.455
GM2_RSN12,9.52930127763835e-05,9.404976592315364e-05,0.07649466743544396,0.0650423174075913,82.88649881844681,41.26856370900376,7.2956143669629405,108.3065174713573,366.5174567102598,31.55005091405642,48.97959009634932,29.36210524311518,17.045,29.345
GM3_RSN30,0.0013018375812673413,0.00101183260327487,0.6999655459286752,0.5243282864927117,615.8787281102951,267.6801063611396,15.747787088997155,432.39558738625806,488.0622854723702,72.35052555369525,332.89228677386063,29.018868049151063,2.17,7.52
GM4_RSN31,0.001042395432683777,0.0009563121518102754,0.5864053382502303,0.43874706461103,483.9386064200691,213.75706713338883,9.27682929667528,263.70126567544537,376.0267329058338,41.96604029519048,182.46646150386636,22.81414051102072,3.84,10.84
GM5_RSN36,0.00015629563948811877,0.0001486783847110937,0.12518987704212398,0.13250041000887117,112.283006591828,44.92460437025052,12.420486352763987,140.32073004340882,511.5687417705348,67.15597517937256,64.88671574634039,49.46210876905167,24.58,48.15
GM6_RSN53,1.0913099037395374e-05,1.2016366287068649e-05,0.00802125349665595,0.00829735854677039,8.195832463337812,5.708154485737863,1.0020737754581404,13.798335001212187,40.52566961180984,5.1506621139106885,6.043732825991716,4.788176617094392,21.405,32.21
GM7_RSN54,1.5860972412812514e-05,1.6202350601995998e-05,0.012183395773193065,0.01185018064664412,15.718402128111826,6.831759762127036,1.1917890387703338,17.08989785753887,34.87251635786458,4.086807169583233,7.451272909424064,4.364973035165317,11.87,20.625
GM8_RSN60,9.043860840376744e-06,7.74412772286202e-06,0.006068112592799914,0.005621959611511028,6.1121997131998205,3.881085995661577,1.1190874071055883,8.00532567002826,23.92671700691901,4.023523133868527,2.820598906691958,3.765412964869427,16.765,23.91
GM9_RSN61,1.0107351359035647e-05,1.0494194869164555e-05,0.0066125157405664435,0.006280936081859651,7.076499288721313,4.266593112974563,1.4863054523335908,11.82796255197602,34.350701877414075,4.522242986436838,4.581052603466474,3.480099974901909,16.490000000000002,23.15
GM10_RSN62,0.00011674064370646573,8.151025336545086e-05,0.09187027421928722,0.06481394278101825,89.3841500672799,29.024204307174763,1.9738623342514043,46.87922213973119,72.96077260420608,6.905155027820865,37.71659830436075,2.398445944948216,4.745,7.115
GM11_RSN65,0.00023081093643932934,0.00022740958541363213,0.17570674709282558,0.14930081534328712,169.01288756626803,72.46470685766465,5.193118458296466,107.3947517406358,99.43287447104731,29.057441102450383,72.86259843244747,11.784790944608435,3.2950000000000004,7.314999999999999
GM12_RSN68,0.0009007637448576624,0.000854950224071554,0.5482041905110824,0.5444408823697937,573.4352606050342,175.07747135057548,16.31981365274727,309.91205863289423,559.465447470546,68.64155166955128,185.5617361273036,71.19490306716379,5.06,13.48
GM13_RSN69,6.599447060337705e-05,5.540789922817862e-05,0.05200110137247909,0.04857498157980849,48.06045230490346,22.145537126068373,6.552675737444719,59.36753496332472,290.8093688855231,17.358489068447195,31.786560239729862,40.19038481427731,34.224999999999994,52.67
GM14_RSN74,1.7589963683873824e-05,1.869439038802817e-05,0.014010590402512724,0.013683066612578646,13.623378549736849,7.305703062159392,2.6673796809454045,18.334100515644693,55.76811795134165,5.982651792956855,8.73614550747624,5.362374718021209,16.285,27.975
