GMID,story_1_sdrX,story_1_sdrZ,story_1_pfaX,story_1_pfaZ,SaT1,PGA,PGV,Sa_avg,CAV,SI,ASI,DSI,DS_5to75,DS_5to95
GM693_RSN3968,0.002101820685738913,0.0020992078107943493,1.1060968426214246,1.149144823440151,1240.750771608682,702.9544007458168,83.32690478092185,1853.5430355470585,3466.3414381966154,340.1706481765429,705.6476649980472,115.43760454882585,5.260000000000002,28.475
GM694_RSN3974,4.2821195149131496e-05,4.6033665740194944e-05,0.04039881119082349,0.03911193027428851,39.69109011045493,32.97339679980274,7.236127580275451,67.39466348986781,261.01970269123063,31.60750950505191,23.979822444337685,17.17416910149063,16.485,34.510000000000005
GM695_RSN3989,2.344760012794484e-05,2.4198862373880315e-05,0.021227087540271417,0.02024534501251406,21.71995878180844,14.920993141860547,3.344592341662394,41.68664478794023,171.58975026348023,15.72822329621503,14.900622558972938,9.99229801609536,25.2,44.510000000000005
GM696_RSN4004,1.2926177074061768e-05,1.528857424745683e-05,0.012031023079376766,0.012027168334768102,11.469422168935594,8.096435780376558,3.334729015409684,20.377440778648687,125.91464661330572,15.183070751236404,6.425794200820199,16.23003427296909,27.100000000000005,42.145
GM697_RSN4011,2.0534487490073835e-05,2.4945940301580132e-05,0.018841833125198076,0.018576499776364868,19.843901945950908,11.565263917993413,3.480370098935341,35.911695357997665,147.42452042370164,16.247042588992326,13.336302991073127,8.33880472061495,19.655,41.105
GM698_RSN4012,2.499429871990812e-05,1.979626325547325e-05,0.01880513278541775,0.017431268161980196,19.735927865410734,12.340799599664772,2.9441140468573934,35.518704242104974,170.81974089684712,16.292365638251297,12.063747472047831,6.416663835508323,26.18,43.71
GM699_RSN4018,2.8184934124457307e-05,2.5761633665006557e-05,0.023309720471267496,0.021086350967290543,21.65995487096994,12.89167825262375,3.203278828712299,39.137080198642295,150.3818366574615,21.148917456263263,13.481999620264768,16.033117411245914,24.8,47.37
GM700_RSN4019,1.359077092000303e-05,1.3242173827585843e-05,0.012728074975922977,0.012288597286851803,12.1775804289281,9.4462727282167,3.201956656938738,21.362955275415995,103.77812672978484,13.8496610383843,7.058820408475716,13.028921948173863,17.45,38.265
GM701_RSN4066,0.0014267980647589898,0.0016963656150724116,0.87378519079915,1.100620274258521,1361.3698830765543,344.71879680009795,10.931197016825884,287.30063815308955,462.2578854187902,45.50604233703755,224.9466647940581,15.401679896015017,2.7299999999999995,5.38
GM702_RSN4078,0.00011180142219131203,0.00011374695837911442,0.10577137658351943,0.09010055813087925,114.59630862382684,38.72535960728775,4.502933248968074,114.22042822392056,247.21023398309103,26.073701703438868,55.30646181612851,13.32977248693762,11.57,27.360000000000003
